species,BENTIX group
Abra alba,2
Abra nitida,2
Abra prismatica,2
Abra sp.,2
Acanthocardia paucicostata,2
Adercodon pleijeli,1
Alpheus glaber,1
Amaeana trilobata,1
Ampelisca brevicornis,2
Ampelisca ledoyeri,1
Ampelisca pseudosarsi,1
Ampelisca pseudospinimana,1
Ampelisca sarsi,2
Ampelisca sp.,1
Ampelisca truncata,1
Ampelisca typica,1
Ampharete acutifrons,2
Amphicorina armandi,1
Amphicteis gunneri,1
Amphipholis squamata,1
Amphipoda sp.,1
Amphitrite cirrata,1
Amphiura cherbonnieri,1
Amphiura chiajei,1
Amphiura filiformis,2
Anadara transversa,1
Anaitides rubiginosa,1
Ancistrosyllis groenlandica,1
Anodontia fragilis,2
Anomia ephippium,1
Anthozoa sp.,1
Anthura gracilis,1
Aonides oxycephala,2
Aora sp.,1
Aora spinicornis,1
Aoridae sp.,1
Aphelochaeta marioni,2
Apherusa sp.,1
Aphylochaeta marioni,2
Apocorophium acutum,2
Aponuphis bilineata,1
Aponuphis brementi,1
Apseudopsis latreillii,2
Arabella iricolor,1
Arca noae,1
Arcopagia balaustina,1
Arichlidon reyssi,1
Aricidea capensis,1
Aricidea catherinae,1
Aricidea cerruti,1
Aricidea claudiae,1
Aricidea fragilis,1
Aricidea lopezi,1
Aricidea quadrilobata,1
Aricidea sp.,1
Armandia cirrhosa,1
Armandia polyophthalma,1
Aspidosiphon kovalevskii,1
Aspidosiphon muelleri,1
Astacilla longicornis,1
Astacilla sp.,1
Asterina gibbosa,1
Astropecten spinulosus,1
Athanas nitescens,1
Atylus guttatus,1
Auchenoplax crinita,1
Autolytus sp.,1
Azorinus chamasolen,1
Balanidae sp.,1
Bodotria scorpioides,1
Brachyura sp.,1
Branchiostoma lanceolatum,1
Bryozoa sp.,1
Caecum auriculatum,1
Callianassa sp.,1
Callianassidae sp.,1
Callista chione,1
Calyptraea chinensis,1
Capitella capitata,2
Capitellidae sp.,2
Capitomastus minima,2
Caprella acanthifera,1
Caprella sp.,1
Carangoliopsis spinulosa,1
Cardiomya costellata,1
Caulleriella alata,2
Caulleriella bioculata,2
Cephalopoda sp.,1
Chaetopteridae sp.,1
Chaetopterus variopedatus,1
Chaetozone setosa,2
Chaetozone sp.,2
Chirimia biceps,1
Chlamys varia,1
Chone acustica,1
Chone arenicola,1
Chone collaris,1
Chone filicaudata,2
Cirolana cranchi,1
Cirolana sp.,1
Cirratulidae sp.,2
Cirratulus cirratus,2
Cirriformia tentaculata,2
Cirrophorus branchiatus,1
Clausinella brogniarti,1
Clymenella sp.,1
Clymenura clypeata,2
Coracuta obliquata,1
Corbula gibba,2
Corophium sp.,2
Cossura coasta,2
Crustacea sp.,1
Ctena decussata,1
Cumacea sp.,1
Cuspidaria cuspidata,1
Cuspidaria rostrata,1
Cylichna cylindracea,1
Dasybranchus caducus,2
Decapoda sp.,1
Deflexilodes gibbosus,1
Dexamine spinosa,2
Diastylis cornuta,1
Diodora graeca,1
Dipolydora flava,2
Dispio sp.,2
Dorvillea rubrovittata,1
Drilonereis filum,1
Dynamene sp.,1
Ebalia granulosa,1
Echinocardium cordatum,1
Echinocardium flavescens,1
Echinocyamus pusillus,1
Echinoidea sp.,1
Elasmopus rapax,2
Elasmopus sp.,1
Epilepton clarkiae,1
Ethusa mascarone,1
Eualus cranchii,1
Euchone rosea,1
Euchone rubrocincta,1
Euchone sp.,1
Euclymene lombricoides,1
Euclymene oerstedi,2
Euclymene palarmitana,1
Euclymene palermitana,1
Eulalia trilineata,1
Eumida sanguinea,2
Eunice oerstedii,1
Eunice vittata,2
Eupanthalis kinbergi,1
Euphausiacea sp.,1
Euratella salmacidis,1
Eurydice pulchra,1
Eurydice truncata,1
Eurysyllis tuberculata,1
Eusirus longipes,1
Euspira pulchella,1
Exogone (exogone) naidina,2
Exogone (exogone) rostrata,1
Exogone (exogone) verugera,2
Fabricia stellaris,2
Falcidens gutturosus,1
Flexopecten glaber,1
Fulvia fragilis,2
Galathea sp.,1
Galathowenia oculata,2
Gammarella fucicola,2
Gammarus sp.,1
Gari costulata,1
Gastrana fragilis,1
Gastrochaena dubia,1
Genocidaris maculata,1
Glans trapezia,1
Glycera alba,2
Glycera lapidum,1
Glycera rouxi,2
Glycera sp.,1
Glycera tesselata,1
Glycera unicornis,1
Gnathia sp.,1
Golfingia (golfingia) elongata,1
Golfingia (golfingia) vulgaris,1
Goneplax rhomboides,2
Goniada maculata,1
Gouldia minima,1
Gregariella petagnae,1
Haplosyllis spongicola,1
Harmothoe antilopes,1
Harmothoe imbricata,1
Harmothoe spinifera,1
Harpinia agna,1
Harpinia crenulata,1
Hemilepton nitidum,2
Hesiospina similis,1
Heteromastus filiformis,2
Hiatella arctica,1
Hiatella rugosa,1
Hippomedon massiliensis,1
Hyala vitrea,2
Hydroides dianthus,2
Hydroides elegans,2
Hydrozoa sp.,1
Inachus sp.,1
Inermonephtys inermis,1
Iphimedia minuta,1
Iphinoe serrata,2
Isaeidae sp.,1
Isopoda sp.,1
Janira sp.,1
Jasmineira caudata,1
Jasmineira elegans,1
Jassa marmorata,2
Jassa ocia,2
Jassa sp.,2
Kefersteinia cirrata,1
Kurtiella bidentata,1
Labioleanira yhleni,1
Lacydonia miranda,1
Lagis koreni,2
Lanice conchilega,2
Laonice cirrata,1
Leiocapitella dollfusi,2
Lembos sp.,1
Lembos websteri,1
Lepidasthenia maculata,1
Lepidepecreum longicornis,1
Leptocheirus pectinatus,1
Leptochelia savignyi,2
Lepton squamosum,1
Leptosynapta inhaerens,1
Leucothoe incisa,1
Leucothoe sp.,1
Levinsenia gracilis,2
Liljeborgia dellavallei,2
Limaria loscombi,1
Liocarcinus arcuatus,1
Liocarcinus corrugatus,1
Liocarcinus depurator,1
Loimia medusa,2
Loripes lacteus,2
Lumbrineridae sp.,1
Lumbrinerides amoureuxi,1
Lumbrineriopsis paradoxa,1
Lumbrineris gracilis,2
Lumbrineris latreilli,2
Lygdamis muratus,1
Lysianassa sp.,2
Lysidice collaris,1
Macrochaeta clavicornis,1
Macropipus sp.,1
Maera grossimana,1
Magelona minuta,1
Magelona sp.,1
Malacoceros fuliginosus,2
Maldane sarsi,2
Malmgreniella castanea,1
Malmgreniella lunulata,2
Marphysa belli,1
Marphysa kinbergi,1
Marphysa sanguinea,2
Megalomma vesiculosum,1
Melinna palmata,2
Mendicula ferruginosa,2
Mesochaetopterus sagittarius,2
Metaphoxus gruneri,1
Metasychis gotoi,1
Microdeutopus gryllotalpa,2
Micronephthys maryae,1
Microphthalmus similis,1
Modiolus adriaticus,1
Modiolus barbatus,2
Monocorophium ascherusicum,2
Monticellina dorsobranchialis,2
Musculus sp.,1
Myrianida prolifera,1
Myrtea spinifera,2
Mysia undata,1
Mysidae sp.,1
Mysta picta,2
Mytilus galloprovincialis,2
Naineris laevigata,1
Nassarius pygmaeus,1
Nassarius reticulatus,1
Nassarius sp.,1
Neanthes caudata,2
Nebalia bipes,1
Nemertea sp.,2
Neodexiospira pseudocorrugata,2
Neopseudocapitella brasiliensis,1
Nephasoma diaphanes,1
Nephtys hombergii,2
Nephtys hystricis,1
Nereiphylla rubiginosa,1
Nereis sp.,2
Ninoe armoricana,1
Notomastus latericeus,2
Nucula nitidosa,2
Nucula nucleus,1
Nucula sp.,1
Nucula sulcata,2
Nuculana commutata,2
Nuculana pella,2
Nudibranchia sp.,1
Odontosyllis gibba,1
Odostomia sp.,1
Oligochaeta sp.,2
Onchnesoma steenstrupii steenstrupii,1
Ophelina aulogaster,1
Ophiodromus flexuosus,2
Ophiodromus pallidus,2
Ophiura albida,1
Ophiura grubei,1
Ophiuridae sp.,1
Ophryotrocha puerilis,2
Opisthobranchia sp.,1
Orbinia cuvieri,1
Orchomenella nana,1
Ostracoda sp.,1
Ostrea sp.,1
Owenia fusiformis,1
Pachygrapsus marmoratus,1
Paguridae sp.,1
Paleanotus debilis,1
Palliolum hyalinum,1
Pandora pinna,1
Pantopoda sp.,1
Papillicardium papillosum,1
Paradiopatra calliopae,1
Paradiopatra neapolitana,1
Paradoneis armata,2
Paradoneis eliasoni,2
Paradoneis lyra,2
Paraehlersia ferrugina,1
Paralacydonia paradoxa,2
Parapionosyllis brevicirra,1
Parapionosyllis cabezali,1
Parapionosyllis minuta,1
Parthenope massena,1
Parvicardium exiguum,2
Parvicardium scabrum,2
Parvicardium sp.,1
Peachia hastata,1
Pectinaria (amphictene) auricoma,1
Peresiella clymenoides,2
Perinereis cultrifera,1
Perioculodes longimanus,1
Petaloproctus terricolus,1
Pettiboneia urciensis,1
Phascolosoma granulatum,1
Phaxas adriaticus,1
Philine aperta,1
Phoronis muelleri,1
Phoxocephalus aquosus,1
Phtisica marina,2
Phyllodoce laminosa,1
Phyllodoce lineata,1
Phyllodoce sp.,1
Pilargis verrucosa,1
Pilumnus hirtellus,1
Pionosyllis divaricata,1
Pionosyllis lamelligera,1
Pionosyllis sp.,1
Pionosyllis weismanni,1
Piromis eruca,2
Pisa sp.,1
Pisione remota,1
Pista cristata,2
Pitar rudis,1
Plagiocardium papillosum,1
Plakosyllis brevipes,1
Podarkeopsis capensis,2
Poecilochaetus serpens,2
Polycirrus aurantiacus,1
Polycirrus plumosus,1
Polycirrus sp.,2
Polydora ciliata,2
Polydora sp.,2
Polyophthalmus pictus,1
Polyplacophora sp.,1
Pomatoceros triqueter,2
Porifera sp.,1
Potamilla torelli,1
Praxillella affinis,1
Praxillella gracilis,1
Praxillella lophoseta,1
Praxillella sp.,1
Prionospio banyulensis,2
Prionospio caspersi,2
Prionospio cirrifera,2
Prionospio dubia,2
Prionospio ehlersi,2
Prionospio fallax,2
Prionospio pulchra,2
Prionospio salzi,2
Prionospio sp.,2
Processa sp.,1
Protodorvillea kefersteini,2
Protodrilidae sp.,1
Protodrilus sp.,1
Protomystides bidentata,1
Psammolyce arenosa,1
Pseudofabricia aberrans,1
Pseudofabriciola longipyga,1
Pseudofabriciola sp.,1
Pseudoleiocapitella fauveli,2
Pseudomystides limbata,1
Pseudopolydora antennata,2
Pseudopolydora pulchra,2
Pseudoprotella phasma,1
Rhachotropis sp.,1
Rhodine gracilior,2
Rissoa sp.,1
Sabella discifera,1
Sabellidae sp.,1
Sabellides octocirrata,2
Saccella commutata,2
Salvatoria clavata,1
Scalibregma celticum,2
Scalpellum scalpellum,1
Schistomeringos rudolphii,2
Schizaster canaliferus,1
Scolelepis tridentata,2
Scoletoma emandibulata,1
Scoletoma impatiens,2
Scoletoma tetraura,2
Scoloplos (scoloplos) armiger,2
Serpula vermicularis,1
Serpulidae sp.,1
Sicyonia carinata,1
Sigambra tentaculata,2
Sipunculus nudus,1
Solemya togata,2
Sosane sulcata,1
Sphaeroma serratum,1
Sphaeroma sp.,1
Sphaerosyllis bulbosa,1
Sphaerosyllis hystrix,2
Sphaerosyllis taylori,1
Spio decoratus,2
Spiochaetopterus costarum,2
Spiophanes bombyx,2
Spiophanes kroyeri,2
Sternaspis scutata,2
Sthenelais boa,2
Subadyte pellucida,1
Syllides longocirratus,1
Syllidia armata,1
Syllis armillaris,1
Syllis cornuta,1
Syllis gerlachi,1
Syllis hyalina,2
Syllis prolifera,2
Syllis rosea,1
Syllis sp.,1
Syllis truncata,1
Syllis variegata,1
Synchelidium longidigitatum,1
Synchelidium maculatum,1
Tanaidacea sp.,2
Tellimya ferruginosa,1
Tellina distorta,2
Tellina donacina,1
Tellina serrata,1
Tellina sp.,1
Terebellidae sp.,1
Terebellides stroemi,2
Thalenessa dendrolepis,1
Thracia papyracea,1
Thyasira flexuosa,2
Thyasira granulosa,2
Thyasira sp.,2
Timoclea ovata,2
Tricolia pullus,1
Trypanosyllis (trypanosyllis) coeliaca,1
Turridae sp.,1
Typosyllis variegata,1
Upogebia deltaura,1
Upogebia pusilla,1
Upogebia sp.,1
Urothoe elegans,1
Venerupis sp.,1
Venus verrucosa,1
Vermiliopsis infundibulum,1
Xenosyllis scabra,1
