Species,Group
Eurynome aspera,1
Eurynome spinosa,1
Eurysyllis tuberculata,2
Exogone (Exogone) naidina,2
Exogone,2
Angulus fabula,1
Galathea intermedia,1
Galathea,1
Galathea squamifera,1
Galathowenia oculata,1
Galeomna turtoni,1
Gammarella fucicola,3
Gammaridea,1
Gammaropsis palmata,1
Gammaropsis sophiae,1
Gammaropsis,1
Gammarus insensibilis,1
Gammarus,1
Gari costulata,1
Gari depressa,1
Gari fervensis,1
Gari tellinella,1
Gariidae,1
Gibbula magus,1
Glycera alba,2
Glycera capitata,2
Glycera tridactyla,2
Glycera lapidum,2
Glycera unicornis,2
Glycera,2
Glycera tesselata,2
Glycera tridactyla,2
Glycera unicornis,2
Glycinde nordmanni,2
Glycinde nordmanni,2
Gnathia oxyuraea,1
Gobius niger,3
Goniada maculata,2
Goniada,2
Goodallia triangularis,1
Gouldia minima,1
Gregariella barbatella,1
Podarkeopsis capensis,2
Gyptis rosea,2
Halcampa,1
Haminoea navicula,2
Harmothoe antilopes,2
Malmgreniella lunulata,2
Harmothoe glabra,2
Harmothoe imbricata,2
Harmothoe impar,2
Malmgreniella lunulata,2
Harmothoe,2
Harmothoe,2
Harmothoe spinifera,2
Harpinia antennaria,1
Harpinia pectinata,1
Harpinia,1
Haustorius arenarius,1
Hediste diversicolor,3
Laetmonice hystrix,2
Hesione pantherina,2
Hesionura elongata,2
Caulleriella bioculata,4
Heterocirrus,4
Heteromastus filiformis,3
Hexacorallia,1
Hiatella arctica,1
Nassarius incrassatus,2
Nassarius,2
Nassarius pygmaeus,2
Nassarius reticulatus,2
Hippolyte varians,1
Hippomedon denticulatus,1
Hyala vitrea,1
Apohyale prevostii,1
Peringia ulvae,3
Inachus dorsettensis,1
Inachus,1
Iphimedia obesa,1
Iphinoe,1
Iphinoe serrata,1
Jaera (Jaera) albifrons,1
Jaera,1
Kellia suborbicularis,1
Labidoplax thomsoni,1
Oestergrenia digitata,1
Labidoplax,1
Harmothoe extenuata,2
Laonice cirrata,3
Laonice cirrata,3
Lanice conchilega,2
Lanice conchilega,2
Lanice,2
Lepidonotus clava,2
Lepidonotus squamatus,2
Leptocheirus pectinatus,3
Leptocheirus pilosus,3
Leptochiton asellus,1
Leptochiton cancellatus,1
Leptochiton inhaerens,1
Leonnates glauca,3
Leptosynapta galliennii,1
Leptosynapta galliennii,1
Leptosynapta inhaerens,1
Leucothoe incisa,1
Leucothoe incisa,1
Leucothoe lilljeborgi,1
Leucothoe richiardii,1
Leucothoe,1
Leucothoe spinicarpa,1
Lilleborjia pallida,1
Liocarcinus navigator,1
Liocarcinus navigator,1
Liocarcinus depurator,1
Liocarcinus holsatus,1
Liocarcinus marmoreus,1
Liocarcinus pusillus,1
Liocarcinus,1
Liocarcinus vernalis,1
Liocarcinus zariquieyi,1
Idunella picta,1
Loripes lucinalis,1
Lucinoma borealis,1
Lucinoma borealis,1
Lumbrinerides,2
Lumbrineriopsis paradoxa,2
Hilbigneris gracilis,2
Scoletoma emandibulata,2
Scoletoma emandibulata mabiti,2
Hilbigneris gracilis,2
Lumbrineris impatiens,2
Lumbrineris latreilli,2
Lumbrineris latreilli,2
Lumbrineris,2
Euspira nitida,2
Lutraria angustior,1
Lutraria lutraria,1
Lutraria lutraria,1
Lutraria,1
Lyonsia norwegica,1
Lysianassa ceratina,1
Lysianassa insperata,1
Lysidice ninetta,2
Macoma balthica,1
Macropodia rostrata,1
Mactra stultorum,1
Mactra stultorum,1
Mactroidea,1
Maera grossimana,1
Othomaera othonis,1
Maera,1
Magelona alleni,1
Magelona filiformis,1
Magelona minuta,1
Magelona mirabilis,1
Magelona papillicornis,1
Magelona,1
Magelona wilsoni,1
Malacoceros tetracerus,3
Malacoceros fuliginosus,5
